Fitness;Average Fitness
196.65366960211537;790.3149989006342
305.29910095963686;880.6549642693284
289.0039509655213;896.2703085307384
247.48738408256287;868.4057416519048
236.56869553145108;747.5359795920826
210.0426729600833;715.8327194271101
220.64442655824013;808.4484329997816
319.25906234718843;991.3181603448891
308.2641159137804;922.8332889056744
187.20122035288625;646.7364627808388
318.9848671760676;875.7643367887708
254.35662724675177;714.837690797174
312.8366453515172;904.8337778431337
177.26147553669412;680.9105719995321
254.61271452170118;780.9768252891973
204.4799206190532;707.6219901628633
327.2887550113478;948.9538650731381
221.27858190366203;717.157729068517
252.93993471271156;754.1769331459268
186.86116819614034;726.773681710037
210.33576839068715;730.2943385595728
265.37684409524036;745.4023645992846
195.2666766646397;705.5110780034447
215.80053803361787;780.3755122967497
278.2581687247877;823.297518435965
383.2281109453207;1080.290739335545
219.73062417825616;818.8156056868295
298.4955060111398;873.0640147681352
262.6226284315121;762.0760356519653
201.25249139825542;662.7108738673921
