Fitness;Average Fitness
300.79357920929436;927.994029030461
297.2883753378561;969.298248993525
368.1346519460277;1024.4435311282339
278.4363418659553;899.135101615069
354.6237536518072;1021.9029476564377
286.2604382573921;876.1143080620894
338.9935464179614;1006.143308067051
406.32214039440817;1127.0123888023645
473.2204600326201;1185.3724273847379
398.0087457603279;1038.3791436182976
393.99046728605197;1110.6102079279249
360.9617026885858;1004.3526195263883
410.0158125873495;1306.5719480914508
353.2378071158036;928.681740005238
421.6173154911782;1147.0407805528694
319.0141777488125;1149.5004713716687
339.77477129971663;959.707362757049
443.17397779242094;1138.5203256542081
406.751699681613;1137.4441170125147
438.82415516033836;1191.4628763939775
300.6176447379222;1104.5540918445995
340.1459109977297;938.7432176846986
327.5246567165602;1037.9816235073972
388.8904289263502;1082.3836940524275
405.5402196881377;1047.279501666762
376.4977202288862;1066.9150214639128
368.8537161988154;1037.9490348036688
387.7012936931736;1106.7291922122513
311.8677285871975;937.9179239568717
342.4177562212437;1062.103319555243
