Fitness;Average Fitness
44.219999328569145;104.13538908335386
51.00308258800044;107.14160018939214
46.88048031986972;109.03458115066867
54.72393340174352;120.11535864451457
41.51804257893184;103.44492815628975
45.506258859701575;111.12181086506534
49.89303982204984;113.64252975391341
43.48827329173645;104.6912444913464
47.889624674835716;105.41043106817006
52.721005199674835;114.04365508496042
57.028834080032084;118.2347573708837
41.91558435880046;105.20861590791672
44.43314269204211;110.63354864121823
52.06763767786731;111.58400559856905
49.91707603197983;110.3246525533902
50.931866214891556;111.00590884179844
51.25748350228332;112.05420720832625
51.42491882317438;113.94904293341207
50.655494379519666;116.95909202027191
38.23720106545875;102.29477969877898
46.40365439502676;110.49470479795723
46.58915870105466;107.43248317522449
49.955258879388964;108.57109083082834
45.584091664077164;107.05550445821386
45.85748819661342;105.62869279252756
52.27020481399569;111.34718921062041
55.19290118425704;113.23854895320108
50.54504547305305;111.51766937333159
49.03767144730028;108.81964089365269
51.613707287014336;112.14082751479538
