Fitness;Average Fitness
24.223470427565683;51.21234503643305
24.595214300371165;50.24640668436919
28.432161643189634;50.93963276193049
24.27458062007081;50.94884894922174
24.945435280863457;50.66284816842402
26.07992695574369;52.39152333827677
27.013753044140014;50.90109498022527
27.924325351010317;51.792748136721876
27.606663376492925;50.96602967246917
27.76993958237523;52.21162880181491
25.86579226187961;52.03880929336927
25.486698932163783;50.51762236632359
26.677648997257766;48.714228297898956
28.641533985707543;50.98921287124393
29.044799888419757;51.89261705184864
27.40594183511263;50.936894413455455
26.56386951394599;52.76458442498145
24.580869507894153;52.401160650385265
27.80607969284004;52.99754883245837
28.576691027109767;50.338950402863
24.583664280811583;48.05753410295984
24.69946930732307;51.439698852304005
25.791393081680127;49.69094381905356
27.866642932192555;50.8045916749448
27.757208803351016;51.86172563705853
25.823249056004524;50.89804834265966
25.181407737365603;51.318581217578256
26.095207133150545;51.193811582469266
27.389974289476562;52.08538064361962
27.442542670029628;50.28693711170858
