Fitness;Average Fitness
340.88732203245775;1018.9500163336272
386.04421920579557;1209.964649854143
411.2875492323497;1116.6893599335276
390.044318600167;1116.2318049475791
393.014366518415;1216.3969703661116
408.0811149183315;1101.3314875055653
425.1614117453578;1088.874323783002
370.4726700681056;1043.7349251738005
464.7120901498578;1285.943743471428
460.2479874592771;1240.6540300553525
319.8990262834773;1136.0021541527658
390.131104241571;1139.3348177398755
354.8175261067806;1059.3482692676987
398.8317546187603;994.2487603977484
468.2501810304273;1355.4456504994455
543.7447823535643;1392.4206112335683
457.27982806834166;1266.2140187595048
405.30397777249726;1136.1873027766278
524.0620341635439;1444.4657320566275
383.7788143457868;1123.0279790725824
351.64881848758813;1111.645259226377
489.72114601309033;1301.136161384305
359.72299756903635;1097.706882482627
287.91032222754507;978.4020375404659
293.59149336970995;997.5444216734493
344.7238625789236;919.463778528463
392.36500200547795;1039.241007675566
357.35946142847115;1096.1156484918324
404.8099963999226;1233.387987378056
417.4886872667702;1145.8603485810931
