Fitness;Average Fitness
3.2893955470768836;10.51359854459018
2.9029311239132065;10.109084340000345
3.168948447152548;10.194733001936825
3.4856907540357445;10.596864843206394
3.041029132995637;10.496558710467628
2.9706757281895597;10.002264261491463
2.609690954029986;9.615013857197063
2.825957697480868;9.754682602630634
2.7010122312748823;9.977096951669362
3.3003300538803;10.66407493890667
2.7868355063134604;10.132469745107787
2.8979179331777454;9.83403362404441
3.3036399146864994;10.268640445138006
2.997922701534483;10.098356412804344
2.779782010851289;10.047470115050848
2.51461628826858;10.248450865870657
2.8843714749394342;10.300656688377536
2.636746952485087;9.71793017225655
3.4027192184267303;10.816299126567653
3.1079054884194597;10.258079615751946
2.853703222892409;9.88440934482085
2.8587139512927413;10.146720456593082
2.381745862068907;9.75834757010668
2.8605326518710847;9.950506669981118
3.1359222947426013;9.964997266886192
2.771917005848458;9.98372272271479
3.305023030322176;10.577185985017886
3.0794315229406504;10.277590777788141
3.053213786101315;10.118616220123158
3.0014169869450504;10.209878635110513
