Fitness;Average Fitness
59.606255047807565;124.04336313044114
57.36827213910772;120.85660532881707
45.78884578325079;119.42675722257283
46.55715780499571;115.47943187552883
54.396461514258874;123.55548506637405
50.18528743988185;109.00531352971628
50.460742228367906;120.0133935984336
56.9371120274032;125.69914570620229
50.07447162224662;113.49632004385239
53.90536434036966;116.41467389649769
56.97910322588194;122.47070390117506
49.64679362682614;113.79317700821666
54.24019062098296;125.52758454998582
44.721474044592185;108.09605373635527
59.47348839052603;124.47806824515823
48.11377493908935;110.72733509630432
60.63303310847681;129.9025885377417
56.757131230298285;119.25350147832893
51.07979362804423;115.57259121280676
43.400460777016065;112.2315884769228
47.47023328557685;115.16665666753013
48.25927466691684;113.27142211370338
57.30160915970799;123.36013942291449
46.97264697782708;118.78771918256072
44.759333362830205;111.66232530988808
59.560566160812925;122.8417465193144
50.231695423306405;120.22545287847632
51.560442150724555;117.89247721293297
52.611252792762514;118.17902106023038
47.26158845853951;112.06646707086259
