Fitness;Average Fitness
21.66855574353847;35.68527613389625
24.286820532473595;39.02164559662156
20.258371029468734;37.26830898553901
19.60406659216017;38.164937335466796
19.53756550236187;34.36168643354453
20.98653852902841;36.363567068822206
22.815140833934947;38.56147776496781
24.849779151263316;39.94202101631224
24.576907869078063;41.4283748918168
25.479973062323225;42.18830898115656
24.813855421604806;39.434269926261045
24.862387826176988;40.2447639721891
21.06374569001017;35.66116847130186
19.40578024921176;37.605778316979226
22.059705147090845;37.57167641988482
21.151502690000537;37.90074840959533
20.675161081222697;36.32548280756436
21.835733867529928;36.805470855271345
19.04421213325605;36.10517644156617
24.786976608498286;39.450382035008865
22.2520227684033;39.172289561613994
20.724760570798225;36.671303245749804
21.485448992144722;38.13702323360573
24.970124214846937;39.79424394181442
25.756572862800315;41.3090279069283
23.565521051522207;37.69020075458485
23.805677452199916;39.31866994249036
23.057795171674893;36.765356904724094
25.086642082691668;39.53676462020144
26.650902339072104;40.43957651871538
